species
Lampanyctus tenuiformis
Lampris guttatus
Lamprogrammus brunswigi
Lasiognathus beebei
Lasiognathus saccostoma
Lasiognathus waltoni
Leiuranus semicinctus
Lepidammodytes macrophthalmus
Lepidion inosimae
Lepidocybium flavobrunneum
Lepidopus calcar
Lepidorhynchus denticulatus
Leptacanthichthys gracilispinis
Leptobrotula breviventralis
Leptostomias macronema
Lestidiops mirabilis
Lestidium nudum
Lestrolepis intermedia
Limnichthys nitidus
Linophryne densiramus
Linophryne escaramosa
Linophryne indica
Linophryne pennibarbata
Liopropoma aurora
Liopropoma collettei
Liopropoma maculatum
Lobianchia gemellarii
Lobotes surinamensis
Lophiodes bruchius
Lophiodes miacanthus
Lophodolos indicus
Lophotus capellei
Loweina rara
Loweina terminata
Luciobrotula bartschi
Luciobrotula lineata
Lutjanus fulvus
Lutjanus gibbus
Lutjanus kasmira
Lutjanus sebae
Luvarus imperialis
Luzonichthys earlei
Macropharyngodon geoffroy
Macroramphosus gracilis
Macroramphosus scolopax
Magnisudis atlantica
Makaira nigricans
Malacanthus brevirostris
Malacocephalus boretzi
Malacocephalus hawaiiensis
Malacosarcus macrostoma
Malacosteus niger
Malthopsis jordani
Malthopsis mitrigera
Margrethia obtusirostra
Masturus lanceolatus
Mataeocephalus acipenserinus
Maulisia argipalla
Maurolicus imperatorius
Maurolicus japonicus
Meadia abyssalis
Megachasma pelagios
Melamphaes danae
Melamphaes indicus
Melamphaes janae
Melamphaes longivelis
Melamphaes lugubris
Melamphaes parini
Melamphaes polylepis
Melamphaes simus
Melanocetus johnsonii
Melanocetus murrayi
Melanolagus bericoides
Melanonus zugmayeri
Melanostomias melanops
Melichthys niger
Melichthys vidua
Mentodus eubranchus
Mentodus mesalirus
Metavelifer multiradiatus
Microbrotula rubra
Microcanthus strigatus
Microlophichthys microlophus
Microstoma microstoma
Minyichthys brachyrhinus
Mobula alfredi
Mobula birostris
Mola mola
Monacoa grimaldii
Monopenchelys acuta
Monotaxis grandoculis
Moringua hawaiiensis
Mugil cephalus
Mugilogobius cavifrons
Mulloidichthys flavolineatus
Mulloidichthys pfluegeri
Mulloidichthys vanicolensis
Muraenichthys schultzei
Myctophum aurolaternatum
Myctophum brachygnathum
Myctophum lychnobium
Myctophum nitidulum
Myrichthys colubrinus
Myrichthys magnificus
Myripristis adusta
Myripristis amaena
Myripristis berndti
Myripristis chryseres
Myripristis greenfieldi
Myripristis kuntee
Myripristis murdjan
Myripristis vittata
Nansenia longicauda
Nansenia pelagica
Naso annulatus
Naso brevirostris
Naso caesius
Naso hexacanthus
Naso lituratus
Naso maculatus
Naso unicornis
Naucrates ductor
Nealotus tripes
Nemateleotris magnifica
Nemichthys larseni
Nemichthys scolopaceus
Neoceratias spinifer
Neomerinthe rufescens
Neomyxus leuciscus
Neonesthes microcephalus
Neoniphon aurolineatus
Neoniphon sammara
Neoscopelus macrolepidotus
Nesiarchus nasutus
Nettastoma parviceps
Nettastoma solitarium
Nettenchelys gephyra
Nezumia burragei
Nezumia ectenes
Nezumia holocentra
Nezumia obliquata
Nezumia propinqua
Nomeus gronovii
Notacanthus abbotti
Notacanthus chemnitzii
Notolychnus valdiviae
Notoscopelus caudispinosus
Notoscopelus resplendens
Novaculichthys taeniourus
Novaculops woodi
Odontanthias elizabethae
Odontanthias fuscipinnis
Odontaspis ferox
Odontaspis noronhai
Odontostomops normalops
Omobranchus ferox
Omobranchus obliquus
Omosudis lowii
Oneirodes macronema
Oneirodes pietschi
Onuxodon fowleri
Onuxodon parvibrachium
Ophichthus fowleri
Ophichthus kunaloa
Ophichthus polyophthalmus
Ophidion muraenolepis
Opisthoproctus soleatus
Oplegnathus fasciatus
Oplegnathus punctatus
Opostomias mitsuii
Opua nephodes
Osteomugil engeli
Ostichthys archiepiscopus
Ostichthys sandix
